pais,palabra,frecuencia,sentimiento
Portugal,denied,1,negativo
Portugal,disgrace,1,negativo
Portugal,dwell,1,positivo
Portugal,moaning,1,negativo
Portugal,overweight,1,negativo
Portugal,demanding,3,negativo
Portugal,sore,1,negativo
Portugal,unhealthy,1,negativo
Portugal,disturbance,1,negativo
Portugal,suffered,1,negativo
Portugal,indifferent,2,negativo
Portugal,gain,1,positivo
Portugal,avoids,2,negativo
Portugal,bold,1,positivo
Portugal,strainer,1,negativo
Portugal,enthusiasm,1,positivo
Portugal,cruel,1,negativo
Portugal,alas,1,negativo
Portugal,awaits,1,positivo
Portugal,fallen,2,negativo
Portugal,backed,3,positivo
Portugal,harmonious,1,positivo
Portugal,valued,1,positivo
Portugal,satisfactory,3,positivo
