pais,palabra,frecuencia,sentimiento
España,struggling,2,negativo
España,ill,1,negativo
España,passion,3,positivo
España,dumb,1,negativo
España,tragedy,1,negativo
España,denied,1,negativo
España,victim,2,negativo
España,illegal,2,negativo
España,commit,1,positivo
España,beating,2,negativo
España,stealing,1,negativo
España,generosity,3,positivo
España,misunderstood,1,negativo
España,sucks,1,negativo
España,won,2,positivo
España,diamond,1,positivo
España,mia,2,negativo
España,fond,1,positivo
España,retained,1,positivo
España,flattering,2,positivo
España,warnings,3,negativo
España,argument,3,negativo
España,curious,1,positivo
España,bonuses,1,positivo
España,importance,2,positivo
España,sucked,2,negativo
España,encouraged,2,positivo
España,panic,1,negativo
España,fitness,4,positivo
España,satisfactory,3,positivo
España,exaggerating,1,negativo
España,virtues,1,positivo
España,hiding,1,negativo
España,bitter,1,negativo
España,enchanted,2,positivo
España,darkness,2,negativo
España,improves,1,positivo
España,argued,1,negativo
España,accuse,1,negativo
España,picturesque,3,positivo
España,uptight,1,negativo
España,truthfulness,2,positivo
España,war,2,negativo
España,hesitates,1,negativo
España,violating,1,negativo
España,error,2,negativo
España,gain,1,positivo
España,braver,2,positivo
España,wisely,1,positivo
España,harms,1,negativo
España,resolve,2,positivo
España,disagreement,1,negativo
España,bliss,1,positivo
España,urgent,2,positivo
España,credit,4,positivo
España,perfecto,1,positivo
España,ass,1,negativo
España,profiting,1,positivo
España,screwed,1,negativo
España,pissed,1,negativo
España,laugh,5,positivo
España,vulnerable,1,negativo
España,intelligent,1,positivo
España,accepts,1,positivo
España,critic,1,negativo
España,compliments,2,positivo
España,shock,2,negativo
España,poisoning,2,negativo
España,cancels,1,negativo
España,deception,3,negativo
España,pressured,1,negativo
España,advantages,2,positivo
España,contagious,1,negativo
España,ghost,1,negativo
España,rejection,1,negativo
España,exhilarating,1,positivo
España,thanked,1,positivo
España,perfection,1,positivo
España,annoyance,2,negativo
España,cheery,1,positivo
España,avoiding,1,negativo
España,verdict,1,positivo
España,justified,2,positivo
España,paranoia,1,negativo
España,grossed,1,negativo
España,attractively,1,positivo
España,perfectionist,1,positivo
España,unethical,1,negativo
España,deceive,1,negativo
España,apology,1,positivo
España,restricted,1,negativo
España,neater,1,positivo
España,inspires,1,positivo
España,warmhearted,1,positivo
España,pray,1,positivo
España,spark,1,positivo
España,relieved,1,positivo
España,joked,1,positivo
España,injured,1,negativo
España,safest,3,positivo
España,disruptive,1,negativo
España,attract,2,positivo
España,deceives,1,negativo
España,attacked,1,negativo
España,festivities,2,positivo
España,merits,1,positivo
España,engaging,1,positivo
España,niceties,1,positivo
